Kong_Index,Kong_ROI_Name,Schaefer2018_Best_Match,Dice
93,17networks_LH_DorsAttnB_FrMed_1,17Networks_LH_SomMotA_7,1.0
94,17networks_LH_DorsAttnB_ParOper_1,17Networks_LH_SomMotB_S2_6,1.0
95,17networks_LH_DorsAttnB_PostC_1,17Networks_LH_DorsAttnB_PostC_3,1.0
96,17networks_LH_DorsAttnB_PrCd_1,17Networks_LH_SomMotA_10,1.0
97,17networks_LH_DorsAttnB_PrCv_1,17Networks_LH_ContA_PFCl_4,1.0
98,17networks_LH_DorsAttnB_SPL_1,17Networks_LH_DorsAttnB_PostC_4,1.0
99,17networks_LH_DorsAttnB_SPL_2,17Networks_LH_SomMotA_13,1.0
100,17networks_LH_Aud_ParOcc_1,17Networks_LH_DorsAttnA_ParOcc_1,1.0
101,17networks_LH_Aud_ST_1,17Networks_LH_SomMotB_Aud_3,1.0
102,17networks_LH_Aud_ST_2,17Networks_LH_SomMotB_Aud_2,1.0
103,17networks_LH_Aud_ST_3,17Networks_LH_SomMotB_Aud_1,1.0
104,17networks_LH_Aud_ST_4,17Networks_LH_TempPar_4,1.0
105,17networks_LH_Aud_ST_5,17Networks_LH_TempPar_3,1.0
106,17networks_LH_SomMotA_ParOper_1,17Networks_LH_SomMotB_S2_4,1.0
107,17networks_LH_SomMotA_1,17Networks_LH_SomMotA_6,1.0
108,17networks_LH_SomMotA_2,17Networks_LH_SomMotA_8,1.0
109,17networks_LH_SomMotA_3,17Networks_LH_SomMotA_4,1.0
110,17networks_LH_SomMotA_4,17Networks_LH_SomMotA_9,1.0
111,17networks_LH_SomMotA_5,17Networks_LH_SomMotA_3,1.0
112,17networks_LH_SomMotA_6,17Networks_LH_SomMotA_11,1.0
113,17networks_LH_SomMotA_7,17Networks_LH_SomMotA_12,1.0
114,17networks_LH_SomMotA_8,17Networks_LH_SomMotA_5,1.0
115,17networks_LH_SomMotA_9,17Networks_LH_SomMotA_1,1.0
116,17networks_LH_SomMotB_Ins_1,17Networks_LH_SomMotB_S2_1,1.0
117,17networks_LH_SomMotB_Ins_2,17Networks_LH_SomMotB_S2_2,1.0
118,17networks_LH_SomMotB_ParOper_1,17Networks_LH_SomMotB_S2_3,1.0
119,17networks_LH_SomMotB_1,17Networks_LH_SomMotA_15,1.0
120,17networks_LH_SomMotB_2,17Networks_LH_SomMotA_14,1.0
121,17networks_LH_SomMotB_3,17Networks_LH_SomMotA_2,1.0
122,17networks_LH_SomMotB_4,17Networks_LH_SomMotB_Cent_2,1.0
123,17networks_LH_SomMotB_5,17Networks_LH_SomMotB_Cent_3,1.0
124,17networks_LH_SomMotB_6,17Networks_LH_SomMotB_Cent_1,1.0
125,17networks_LH_SomMotB_7,17Networks_LH_SomMotB_S2_5,1.0
126,17networks_LH_VisualA_ExStr_1,17Networks_LH_DorsAttnA_SPL_1,1.0
